A1,A2,voto,valor
SERRANO SALGADO JOSÉ RICARDO,SALGADO ANDRADE SILVIA BETZABETH,SI,1
SERRANO SALGADO JOSÉ RICARDO,SAMANIEGO MAIGUA FRANKLIN OMAR,SI,1
SERRANO SALGADO JOSÉ RICARDO,SÁNCHEZ REYES MONTGOMERY,SI,1
SERRANO SALGADO JOSÉ RICARDO,ALEMÁN MARMOL MÓNICA ROCÍO,SI,1
SERRANO SALGADO JOSÉ RICARDO,SOLIZ CARRIÓN DORIS JOSEFINA,SI,1
SERRANO SALGADO JOSÉ RICARDO,VALLE PINARGOTE BAIRON LEONARDO,SI,1
SERRANO SALGADO JOSÉ RICARDO,VELIN CORTÉS JUAN PABLO,SI,1
SERRANO SALGADO JOSÉ RICARDO,VERA FLORES WENDY VANESSA,SI,1
SERRANO SALGADO JOSÉ RICARDO,VERA RODRÍGUEZ CARLOS ALFREDO,SI,1
SERRANO SALGADO JOSÉ RICARDO,VILLALVA MIRANDA LIRA DE LA PAZ,SI,1
SERRANO SALGADO JOSÉ RICARDO,VITERI GUALINGA CARLOS ELOY,SI,1
SERRANO SALGADO JOSÉ RICARDO,YAR ARAUJO JUAN CARLOS,SI,1
SERRANO SALGADO JOSÉ RICARDO,YUNDA MACHADO JORGE HOMERO,SI,1
SERRANO SALGADO JOSÉ RICARDO,ZAMBRANO ARTEAGA JOSE RICARDO,SI,1
SERRANO SALGADO JOSÉ RICARDO,ZAMBRANO CASTRO NORALMA ELIZABETH,SI,1
SERRANO SALGADO JOSÉ RICARDO,AZUERO RODAS ELISEO ALEXIS,SI,1
SERRANO SALGADO JOSÉ RICARDO,ZAMBRANO CHACHA ALBERTO ALEXANDER,SI,1
SERRANO SALGADO JOSÉ RICARDO,ZAMBRANO VALLE EDUARDO MAURICIO,SI,1
SERRANO SALGADO JOSÉ RICARDO,ZAMBRANO VERA MARIANO,SI,1
SERRANO SALGADO JOSÉ RICARDO,CANDELL SOTO JAIME ENRIQUE JIMMY,SI,1
SERRANO SALGADO JOSÉ RICARDO,ALARCÓN GUILLÍN FREDY OSCAR,SI,1
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,ARIAS RAMÍREZ ALBERTO JESÚS,SI,1
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,ARREGUI RUEDA MARCIA CECILIA,SI,1
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,ARTEAGA MUÑOZ KARINA CECILIA,SI,1
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,BENAVIDES ZAMBRANO ZOILA TERESA,SI,1
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,BERGMANN REYNA CARLOS ALBERTO,SI,1
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,BONILLA SALCEDO VIVIANA,SI,1
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,BUENDÍA HERDOÍZA MARÍA SOLEDAD,SI,1
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,SI,1
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,CABEZAS GUERRERO ELIZABETH ENRIQUETA,SI,1
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,CADENA VÉLEZ KARLA GABRIELA,SI,1
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,CALLE VERZOZI HERMUY,SI,1
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,CAMBALA MONTECE CARLOS ALBERTO,SI,1
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,CÁRDENAS ESPINOZA JUAN JORGE,SI,1
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,CARRIÓN CEVALLOS MARÍA JOSÉ,SI,1
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,CARVAJAL AGUIRRE MIGUEL ÁNGEL,SI,1
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,SI,1
